movie_id,片名,年份,原语言,补全语言,Language_Code,Is_Dialect
4133310,惊梦魂,1995,,粤语,3,1
2129914,八廓南街16号,1997,,藏语,3,1
10518931,猎人与骷髅怪,2012,,藏语,3,1
34953763,巴依尔的春节,2020,,山西方言,3,1
