组别,movie_id,片名,年份,豆瓣评分,评价人数,类型,Decade,语言字段原文,归一化语言,命中方言标签,方言大区,Tier层级,方言占比（推断）,占比推断依据,来源URL
方言片,1294991,精武门,1972,8.5,36254,动作 / 剧情 / 爱情,Pre-1990s,粤语 / 英语,粤语 / 英语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1294991/
方言片,1304957,七十二家房客,1973,7.4,3923,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1304957/
方言片,1307726,北派功夫,1973,5.6,119,动作 / 剧情 / 战争,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1307726/
方言片,1305282,天网,1974,7.6,503,犯罪 / 剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1305282/
方言片,2051834,怪人怪事,1974,6.5,513,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2051834/
方言片,1300785,香港73,1974,7.7,475,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1300785/
方言片,1301997,鬼马双星,1974,7.4,7306,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1301997/
方言片,1307361,黄飞鸿少林拳,1974,6.0,429,动作,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1307361/
方言片,2149187,三笑姻缘,1975,8.6,151,剧情 / 爱情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2149187/
方言片,26298837,城寨,1975,8.2,100,nan,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/26298837/
方言片,1307950,大哥成,1975,6.7,377,动作 / 犯罪 / 剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1307950/
方言片,5182417,天后,1975,6.7,172,剧情 / 奇幻 / 古装,Pre-1990s,闽南语,闽南语,闽南语,闽南语（闽台片）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/5182417/
方言片,1298003,天才与白痴,1975,7.5,5381,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1298003/
方言片,1967472,廉政风暴,1975,6.9,153,犯罪 / 剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1967472/
方言片,2152970,扭计祖宗陈梦吉,1975,6.5,254,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2152970/
方言片,4100731,拍案惊奇,1975,6.6,173,剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/4100731/
方言片,4001868,的士大佬,1975,6.3,169,冒险 / 剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/4001868/
方言片,1903536,陈梦吉计破脂粉阵,1975,5.9,161,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1903536/
方言片,1308448,马哥波罗,1975,5.6,269,动作 / 冒险,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1308448/
方言片,1493669,乾隆皇奇遇记,1976,6.6,545,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1493669/
方言片,1448758,半斤八两,1976,8.2,22325,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1448758/
方言片,1299339,帝女花,1976,7.9,373,剧情 / 爱情 / 冒险,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1299339/
方言片,2030852,江湖子弟,1976,7.2,112,动作 / 剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2030852/
方言片,1308033,池女,1976,5.6,284,爱情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1308033/
方言片,1962945,沙胆英,1976,7.2,181,动作 / 惊悚,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1962945/
方言片,3688563,老夫子,1976,6.0,702,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/3688563/
方言片,1466875,赌王大骗局,1976,7.6,945,喜剧 / 犯罪,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1466875/
