movie_id,语言,fetched_at,http_status,source
26642033,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26657516,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26662331,汉语普通话,2026-08-30T05:26:23.054924+00:00,200,douban_rexxar
26694926,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26703121,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26703946,汉语普通话,2026-08-30T05:09:39.511489+00:00,200,douban_page
26715496,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26734686,汉语普通话,2026-08-30T05:26:24.663086+00:00,200,douban_rexxar
26741632,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26745332,英語 / 英语 / Osage,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26746801,廣府話 / 粤语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26747869,日語 / 日语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26748882,汉语普通话 / 粤语,2026-08-30T05:26:26.389145+00:00,200,douban_rexxar
26749938,汉语普通话 / Putonghua,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26791596,日語 / 日语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26794442,阿拉伯语 / 法语 / 英語 / Arabic / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26816104,汉语普通话 / Putonghua,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26816376,汉语普通话,2026-08-30T04:38:11.588810+00:00,200,douban_rexxar
26817136,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26818326,汉语普通话,2026-08-30T05:26:28.036928+00:00,200,douban_rexxar
26820621,西班牙語 / 英語 / 西班牙语 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26823520,汉语普通话,2026-08-30T05:26:59.263546+00:00,200,douban_rexxar
26825482,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26838236,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26856202,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26867808,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26873582,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26889600,汉语普通话,2026-08-30T05:27:01.029588+00:00,200,douban_rexxar
26897885,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26897888,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26900149,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26908303,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26915921,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26924143,汉语普通话,2026-08-30T05:27:02.390174+00:00,200,douban_rexxar
26925611,日語 / 日语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26928478,汉语普通话,2026-08-30T05:27:03.845408+00:00,200,douban_rexxar
26933158,汉语普通话,2026-08-30T05:27:05.381632+00:00,200,douban_rexxar
26933210,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26933588,法语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26935358,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26938697,汉语普通话 / Putonghua,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26949852,朝鮮語 / 韩语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26957899,日語 / 日语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
26957900,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26959697,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26962981,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26967870,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26967871,英語 / 德语 / 廣府話 / 英语 / 粤语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26995475,英語 / 廣府話 / 汉语普通话 / 英语 / 粤语 / Mandarin,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26995893,粵語 / 粤语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
26996619,汉语普通话 / 粤语,2026-08-30T05:27:06.671862+00:00,200,douban_rexxar
26999802,中文 / 汉语普通话,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27007465,朝鮮語 / 韩语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27008393,汉语普通话,2026-08-30T05:27:08.098866+00:00,200,douban_rexxar
27019572,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27042557,英語 / 汉语普通话 / 英语 / Mandarin,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27046287,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27056396,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27058736,西班牙語 / 西班牙语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27066152,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27067713,汉语普通话 / Mandarin,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27069838,朝鮮語 / 韩语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27072790,英語 / 瑞士德语 / 英语 / Swiss German,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27073062,汉语普通话 / 日语 / 英语 / 南京方言,2026-08-30T04:38:12.446371+00:00,200,douban_rexxar
27077476,英語 / 英语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27077479,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
27085337,朝鮮語 / 韩语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27087319,朝鮮語 / 韩语,2026-08-30T05:14:25.830893+00:00,200,wikidata_p364
27089580,英語 / 英语,2026-08-30T05:15:25.669077+00:00,200,wikidata_p364
