movie_id,片名,年份,Region,语言,数据来源,来源URL,reason
36473138,无声挚爱,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36473138/,delivery_empty
36481242,春中六日,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36481242/,delivery_empty
36494092,破碎的声线,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36494092/,delivery_empty
36538948,歇斯底里,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36538948/,delivery_empty
36553324,趣塔德庄园,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36553324/,delivery_empty
36564929,奇异的河流,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36564929/,delivery_empty
36566255,山怪巨魔2,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36566255/,delivery_empty
36575268,朝圣,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36575268/,delivery_empty
36587286,蝉,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36587286/,delivery_empty
36587400,为了亚当,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36587400/,delivery_empty
36587901,国家公诉人,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36587901/,delivery_empty
36593798,温柔的叶子,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36593798/,delivery_empty
36600047,陌生人：第二章,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36600047/,delivery_empty
36611300,加州骗局,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36611300/,delivery_empty
36625061,欲挽金乌,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36625061/,delivery_empty
36640181,猎魔人：深渊海妖,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36640181/,delivery_empty
36647543,神圣之路,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36647543/,delivery_empty
36647741,托马斯·穆勒：独一无二,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36647741/,delivery_empty
36650563,被俘的塞万提斯,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36650563/,delivery_empty
36650628,像这样的夜晚,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36650628/,delivery_empty
36671714,穿山甲Kulu的旅程,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36671714/,delivery_empty
36678125,且听风言,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36678125/,delivery_empty
36678178,诚实的生活,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36678178/,delivery_empty
36678301,望向太阳,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36678301/,delivery_empty
36679932,纽伦堡,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36679932/,delivery_empty
36691620,至尊马蒂,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36691620/,delivery_empty
36697073,共和之鹰,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36697073/,delivery_empty
36707368,罪证子弹3,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36707368/,delivery_empty
36708836,阿姆斯特丹的水鬼2,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36708836/,delivery_empty
36725555,母亲往事,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36725555/,delivery_empty
36728357,新凯旋门,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36728357/,delivery_empty
36733715,域外营救,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36733715/,delivery_empty
36741663,关只熊什么事,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36741663/,delivery_empty
36742572,巴黎夏日,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36742572/,delivery_empty
36742578,新浪潮,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36742578/,delivery_empty
36749535,恶徒,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36749535/,delivery_empty
36752929,夜班,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36752929/,delivery_empty
36764327,即兴卧底,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36764327/,delivery_empty
36764678,苏宽岛,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36764678/,delivery_empty
36768380,36总局：势不两立,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36768380/,delivery_empty
36769881,导火线,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36769881/,delivery_empty
36770062,史蒂夫,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36770062/,delivery_empty
36772305,伯顿先生,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36772305/,delivery_empty
36777886,团战之夜,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36777886/,delivery_empty
36779042,时间戳,2025,Europe,,douban_delivery_20260817,https://movie.douban.com/subject/36779042/,delivery_empty
